name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Leverage High Row,pull,beginner,compound,machine,middle back,lats,None,None,None,None,None,None,None,None,None,Load an appropriate weight onto the pins and adjust the seat height so that you can just reach the handles above you. Adjust the knee pad to help keep you down. Grasp the handles with a pronated grip. This will be your starting position.,strength
Leverage Incline Chest Press,push,beginner,compound,machine,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the top of the pectorals at the beginning of the motion. Your chest and head should be up and your shoulder blades retracted. This will be your starting position.,strength
Leverage Iso Row,pull,beginner,compound,machine,lats,biceps,middle back,None,None,None,None,None,None,None,None,Load an appropriate weight onto the pins and adjust the seat height so that the handles are at chest level. Grasp the handles with either a neutral or pronated grip. This will be your starting position.,strength
Leverage Shoulder Press,push,beginner,compound,machine,shoulders,triceps,None,None,None,None,None,None,None,None,None,Load an appropriate weight onto the pins and adjust the seat for your height. The handles should be near the top of the shoulders at the beginning of the motion. Your chest and head should be up and handles held with a pronated grip. This will be your starting position.,strength
Leverage Shrug,pull,beginner,isolation,machine,traps,forearms,None,None,None,None,None,None,None,None,None,Load the pins to an appropriate weight. Position yourself directly between the handles.,strength
Linear 3-Part Start Technique,push,beginner,compound,None,hamstrings,calves,quadriceps,None,None,None,None,None,None,None,None,This drill helps you accelerate as quickly as possible into a sprint from a dead stop. It helps to use a line to start from. Begin with two feet on the line. Place your left foot with the toe next to your right ankle. Place your right foot 4-6 inches behind the left.,plyometrics
Linear Acceleration Wall Drill,None,beginner,compound,None,hamstrings,calves,glutes,quadriceps,None,None,None,None,None,None,None,"Lean at around 45 degrees against a wall. Your feet should be together, glutes contracted.",plyometrics
Linear Depth Jump,push,intermediate,compound,other,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,You will need two boxes or benches spaced a few feet away from each other. Begin by standing on one box facing towards the other platform.,plyometrics
Log Lift,push,intermediate,compound,other,shoulders,abdominals,chest,glutes,hamstrings,lower back,middle back,quadriceps,traps,triceps,None,"Begin standing with the log in front of you. Grasp the handles, and begin to clean the log. As you are bent over to start the clean, attempt to get the log as high as possible, pulling it into your chest. Extend through the hips and knees to bring it up to complete the clean.",strongman
London Bridges,pull,intermediate,compound,other,lats,biceps,forearms,middle back,None,None,None,None,None,None,None,"Attach a climbing rope to a high beam or cross member. Below it, ensure that the smith machine bar is locked in place with the safeties and cannot move. Alternatively, a secure box could also be utilized.",strength
Looking At Ceiling,static,beginner,isolation,None,quadriceps,None,None,None,None,None,None,None,None,None,None,"Kneel on the floor, holding your heels with both hands.",stretching
Low Cable Crossover,push,beginner,isolation,cable,chest,shoulders,None,None,None,None,None,None,None,None,None,"To move into the starting position, place the pulleys at the low position, select the resistance to be used and grasp a handle in each hand.",strength
Low Cable Triceps Extension,push,beginner,isolation,cable,triceps,None,None,None,None,None,None,None,None,None,None,Select the desired weight and lay down face up on the bench of a seated row machine that has a rope attached to it. Your head should be pointing towards the attachment.,strength
Low Pulley Row To Neck,pull,beginner,compound,cable,shoulders,biceps,middle back,traps,None,None,None,None,None,None,None,Sit on a low pulley row machine with a rope attachment.,strength
Lower Back-SMR,static,beginner,None,foam roll,lower back,None,None,None,None,None,None,None,None,None,None,"In a seated position, place a foam roll under your lower back. Cross your arms in front of you and protract your shoulders. This will be your starting position.",stretching
Lower Back Curl,static,beginner,None,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie on your stomach with your arms out to your sides. This will be your starting position.,stretching
Lunge Pass Through,push,intermediate,compound,kettlebells,hamstrings,calves,glutes,quadriceps,None,None,None,None,None,None,None,Stand with your torso upright holding a kettlebell in your right hand. This will be your starting position.,strength
Lunge Sprint,push,intermediate,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Adjust a bar in a Smith machine to an appropriate height. Position yourself under the bar, racking it across the back of your shoulders. Unrack the bar, and then split your feet, moving one foot forward and one foot back. This will be your starting position.",strength
Lying Bent Leg Groin,static,expert,None,other,adductors,None,None,None,None,None,None,None,None,None,None,Lie on your back with your knees bent and the soles of the feet pressed together. Have your partner hold your knees. This will be your starting position.,stretching
Lying Cable Curl,pull,intermediate,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,"Grab a straight bar or E-Z bar attachment that is attached to the low pulley with both hands, using an underhand (palms facing up) shoulder-width grip.",strength
Lying Cambered Barbell Row,pull,beginner,isolation,barbell,middle back,biceps,lats,traps,None,None,None,None,None,None,None,Place a cambered bar underneath an exercise bench.,strength
Lying Close-Grip Bar Curl On High Pulley,pull,beginner,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,Place a flat bench in front of a high pulley or lat pulldown machine.,strength
Lying Close-Grip Barbell Triceps Extension Behind The Head,push,intermediate,isolation,barbell,triceps,None,None,None,None,None,None,None,None,None,None,"While holding a barbell or EZ Curl bar with a pronated grip (palms facing forward), lie on your back on a flat bench with your head close to the end of the bench. Tip: If you are holding a barbell grab it using a shoulder-width grip and if you are using an E-Z Bar grab it on the inner handles.",strength
Lying Close-Grip Barbell Triceps Press To Chin,push,intermediate,isolation,e-z curl bar,triceps,None,None,None,None,None,None,None,None,None,None,"While holding a barbell or EZ Curl bar with a pronated grip (palms facing forward), lie on your back on a flat bench with your head off the end of the bench. Tip: If you are holding a barbell grab it using a shoulder-width grip and if you are using an E-Z Bar grab it on the inner handles.",strength
Lying Crossover,static,expert,None,body only,abductors,None,None,None,None,None,None,None,None,None,None,Lie on your back with your legs extended.,stretching
Lying Dumbbell Tricep Extension,push,intermediate,isolation,dumbbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Lie on a flat bench while holding two dumbbells directly in front of you. Your arms should be fully extended at a 90-degree angle from your torso and the floor. The palms should be facing in and the elbows should be tucked in. This is the starting position.,strength
Lying Face Down Plate Neck Resistance,pull,intermediate,isolation,other,neck,None,None,None,None,None,None,None,None,None,None,"Lie face down with your whole body straight on a flat bench while holding a weight plate behind your head. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the upper chest, neck and face to be off the bench. This will be your starting position.",strength
Lying Face Up Plate Neck Resistance,pull,intermediate,isolation,other,neck,None,None,None,None,None,None,None,None,None,None,"Lie face up with your whole body straight on a flat bench while holding a weight plate on top of your forehead. Tip: You will need to position yourself so that your shoulders are slightly above the end of a flat bench in order for the traps, neck and head to be off the bench. This will be your starting position.",strength
Lying Glute,static,expert,None,body only,glutes,abductors,None,None,None,None,None,None,None,None,None,Lie on your back with your partner kneeling beside you.,stretching
Lying Hamstring,static,expert,None,other,hamstrings,calves,None,None,None,None,None,None,None,None,None,Lie on your back with your legs extended. Your partner should be kneeling beside you. Raise one leg up towards the ceiling and have your partner hold the ankle. Your partner can use their shoulder to brace your leg if necessary. This will be your starting position.,stretching
Lying High Bench Barbell Curl,pull,intermediate,isolation,barbell,biceps,None,None,None,None,None,None,None,None,None,None,Lie face forward on a tall flat bench while holding a barbell with a supinated grip (palms facing up). Tip: If you are holding a barbell grab it using a shoulder-width grip and if you are using an E-Z Bar grab it on the inner handles. Your upper body should be positioned in a way that the upper chest is over the end of the bench and the barbell is hanging in front of you with the arms extended and perpendicular to the floor. This will be your starting position.,strength
Lying Leg Curls,pull,beginner,isolation,machine,hamstrings,None,None,None,None,None,None,None,None,None,None,Adjust the machine lever to fit your height and lie face down on the leg curl machine with the pad of the lever on the back of your legs (just a few inches under the calves). Tip: Preferably use a leg curl machine that is angled as opposed to flat since an angled position is more favorable for hamstrings recruitment.,strength
Lying Machine Squat,push,intermediate,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Adjust the leg machine to a height that will allow you to get inside it with your knees bent and the thighs slightly below parallel.,strength
Lying One-Arm Lateral Raise,pull,intermediate,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,"While holding a dumbbell in one hand, lay with your chest down on a flat bench. The other hand can be used to hold to the leg of the bench for stability.",strength
Lying Prone Quadriceps,None,expert,None,body only,quadriceps,None,None,None,None,None,None,None,None,None,None,"Lay face down on the floor with your partner kneeling beside you. Flex one knee and raise that leg off the ground, attempting to touch your glutes with your foot. Your partner should hold the knee and ankle. This will be your starting position.",stretching
Lying Rear Delt Raise,pull,intermediate,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,"While holding a dumbbell in each hand, lay with your chest down on a flat bench.",strength
Lying Supine Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Lie down on a flat bench face up while holding a dumbbell in each arm on top of your thighs.,strength
Lying T-Bar Row,pull,intermediate,compound,machine,middle back,biceps,lats,None,None,None,None,None,None,None,None,Load up the T-bar Row Machine with the desired weight and adjust the leg height so that your upper chest is at the top of the pad. Tip: In some machines all you can do is stand on the appropriate step that allows you to be at a height that has the upper chest at the top of the pad.,strength
Lying Triceps Press,push,intermediate,isolation,e-z curl bar,triceps,None,None,None,None,None,None,None,None,None,None,Lie on a flat bench with either an e-z bar (my preference) or a straight bar placed on the floor behind your head and your feet on the floor.,strength
Machine Bench Press,push,beginner,compound,machine,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Sit down on the Chest Press Machine and select the weight.,strength
Machine Bicep Curl,pull,beginner,isolation,machine,biceps,None,None,None,None,None,None,None,None,None,None,Adjust the seat to the appropriate height and make your weight selection. Place your upper arms against the pads and grasp the handles. This will be your starting position.,strength
Machine Preacher Curls,pull,beginner,isolation,machine,biceps,None,None,None,None,None,None,None,None,None,None,Sit down on the Preacher Curl Machine and select the weight.,strength
Machine Shoulder (Military) Press,push,beginner,compound,machine,shoulders,triceps,None,None,None,None,None,None,None,None,None,Sit down on the Shoulder Press Machine and select the weight.,strength
Machine Triceps Extension,push,beginner,isolation,machine,triceps,None,None,None,None,None,None,None,None,None,None,Adjust the seat to the appropriate height and make your weight selection. Place your upper arms against the pads and grasp the handles. This will be your starting position.,strength
Medicine Ball Chest Pass,push,beginner,compound,medicine ball,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"You will need a partner for this exercise. Lacking one, this movement can be performed against a wall.",plyometrics
Medicine Ball Full Twist,pull,beginner,compound,medicine ball,abdominals,shoulders,None,None,None,None,None,None,None,None,None,"For this exercise you will need a medicine ball and a partner. Stand back to back with your partner, spaced 2-3 feet apart. This will be your starting position.",plyometrics
Medicine Ball Scoop Throw,push,beginner,compound,medicine ball,shoulders,abdominals,hamstrings,quadriceps,None,None,None,None,None,None,None,Assume a semisquat stance with a medicine ball in your hands. Your arms should hang so the ball is near your feet.,plyometrics
Middle Back Shrug,pull,intermediate,isolation,dumbbell,middle back,None,None,None,None,None,None,None,None,None,None,Lie facedown on an incline bench while holding a dumbbell in each hand. Your arms should be fully extended hanging down and pointing towards the floor. The palms of your hands should be facing each other. This will be your starting position.,strength
Middle Back Stretch,static,beginner,isolation,None,middle back,abdominals,lats,lower back,None,None,None,None,None,None,None,Stand so your feet are shoulder width apart and your hands are on your hips.,stretching
Mixed Grip Chin,pull,expert,compound,other,middle back,biceps,lats,None,None,None,None,None,None,None,None,"Using a spacing that is just about 1 inch wider than shoulder width, grab a pull-up bar with the palms of one hand facing forward and the palms of the other hand facing towards you. This will be your starting position.",strength
Monster Walk,pull,beginner,compound,bands,abductors,None,None,None,None,None,None,None,None,None,None,Place a band around both ankles and another around both knees. There should be enough tension that they are tight when your feet are shoulder width apart.,strength
Mountain Climbers,pull,beginner,compound,None,quadriceps,chest,hamstrings,shoulders,None,None,None,None,None,None,None,"Begin in a pushup position, with your weight supported by your hands and toes. Flexing the knee and hip, bring one leg until the knee is approximately under the hip. This will be your starting position.",plyometrics
Moving Claw Series,None,beginner,compound,None,hamstrings,calves,quadriceps,None,None,None,None,None,None,None,None,"This move helps prepare your running form to help you excel at sprinting. As you run, be sure to flex the knee, aiming to kick your glutes as the hip extends.",plyometrics
Muscle Snatch,pull,intermediate,compound,barbell,hamstrings,glutes,lower back,quadriceps,shoulders,triceps,None,None,None,None,None,"Begin with a loaded barbell held at the mid thigh position with a wide grip. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar. This will be the starting position.",olympic weightlifting
Muscle Up,pull,intermediate,compound,other,lats,abdominals,biceps,forearms,middle back,shoulders,traps,triceps,None,None,None,"Grip the rings using a false grip, with the base of your palms on top of the rings. Initiate a pull up by pulling the elbows down to your side, flexing the elbows.",strength
Narrow Stance Hack Squats,push,intermediate,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Place the back of your torso against the back pad of the machine and hook your shoulders under the shoulder pads provided.,strength
Narrow Stance Leg Press,push,intermediate,compound,machine,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Using a leg press machine, sit down on the machine and place your legs on the platform directly in front of you at a less-than-shoulder-width narrow stance with the toes slightly pointed out. Your feet should be around 3 inches or less apart. Tip: Keep your head up at all times and also maintain the back on the pad at all times.",strength
Narrow Stance Squats,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,lower back,None,None,None,None,None,None,"This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.",strength
Natural Glute Ham Raise,pull,intermediate,compound,body only,hamstrings,calves,glutes,lower back,None,None,None,None,None,None,None,"Using the leg pad of a lat pulldown machine or a preacher bench, position yourself so that your ankles are under the pads, knees on the seat, and you are facing away from the machine. You should be upright and maintaining good posture.",strength
Neck-SMR,static,intermediate,None,other,neck,None,None,None,None,None,None,None,None,None,None,"Using a muscle roller or a rolling pin, place the roller behind your head and against your neck. Make sure that you do not place the roller directly against the spine, but turned slightly so that the roller is pressed against the muscles to either side of the spine. This will be your starting position.",stretching
Neck Press,push,intermediate,compound,barbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Lie back on a flat bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position.",strength
Oblique Crunches,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put one hand beside your head and the other to the side against the floor.",strength
Oblique Crunches - On The Floor,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Start out by lying on your right side with your legs lying on top of each other. Make sure your knees are bent a little bit.,strength
Olympic Squat,push,intermediate,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,"Begin with a barbell supported on top of the traps. The chest should be up, and the head facing forward. Adopt a hip width stance with the feet turned out as needed.",olympic weightlifting
On-Your-Back Quad Stretch,static,beginner,isolation,other,quadriceps,None,None,None,None,None,None,None,None,None,None,"Lie on a flat bench or step, and hang one leg and arm over the side.",stretching
On Your Side Quad Stretch,static,beginner,isolation,None,quadriceps,None,None,None,None,None,None,None,None,None,None,"Start off by lying on your right side, with your right knee bent at a 90-degree angle resting on the floor in front of you (this stabilizes the torso).",stretching
One-Arm Dumbbell Row,pull,beginner,compound,dumbbell,middle back,biceps,lats,shoulders,None,None,None,None,None,None,None,Choose a flat bench and place a dumbbell on each side of it.,strength
One-Arm Flat Bench Dumbbell Flye,push,beginner,isolation,dumbbell,chest,None,None,None,None,None,None,None,None,None,None,Lie down on a flat bench with a dumbbell in one hand resting on top of your thigh. The palm of your hand with the dumbbell in it should be at a neutral grip.,strength
One-Arm High-Pulley Cable Side Bends,pull,beginner,isolation,cable,abdominals,None,None,None,None,None,None,None,None,None,None,Connect a standard handle to a tower. Move cable to highest pulley position.,strength
One-Arm Incline Lateral Raise,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Lie down sideways on an incline bench press with a dumbbell in the hand. Make sure the shoulder is pressing against the incline bench and the arm is lying across your body with the palm around your navel.,strength
One-Arm Kettlebell Clean,pull,intermediate,compound,kettlebells,hamstrings,glutes,lower back,shoulders,traps,None,None,None,None,None,None,"Place a kettlebell between your feet. As you bend down to grab the kettlebell, push your butt back and keep your eyes looking forward.",strength
One-Arm Kettlebell Clean and Jerk,push,intermediate,compound,kettlebells,shoulders,None,None,None,None,None,None,None,None,None,None,Hold a kettlebell by the handle.,strength
One-Arm Kettlebell Floor Press,push,intermediate,compound,kettlebells,chest,triceps,None,None,None,None,None,None,None,None,None,"Lie on the floor holding a kettlebell with one hand, with your upper arm supported by the floor. The palm should be facing in.",strength
One-Arm Kettlebell Jerk,push,intermediate,compound,kettlebells,shoulders,calves,quadriceps,triceps,None,None,None,None,None,None,None,"Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.",strength
One-Arm Kettlebell Military Press To The Side,push,intermediate,compound,kettlebells,shoulders,triceps,None,None,None,None,None,None,None,None,None,"Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces inward. This will be your starting position.",strength
One-Arm Kettlebell Para Press,push,intermediate,compound,kettlebells,shoulders,triceps,None,None,None,None,None,None,None,None,None,"Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.",strength
One-Arm Kettlebell Push Press,push,intermediate,compound,kettlebells,shoulders,calves,quadriceps,triceps,None,None,None,None,None,None,None,"Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.",strength
One-Arm Kettlebell Row,pull,intermediate,compound,kettlebells,middle back,biceps,lats,None,None,None,None,None,None,None,None,None,strength
One-Arm Kettlebell Snatch,pull,expert,compound,kettlebells,shoulders,calves,glutes,hamstrings,lower back,traps,triceps,None,None,None,None,Place a kettlebell between your feet. Bend your knees and push your butt back to get in the proper starting position.,strength
One-Arm Kettlebell Split Jerk,push,intermediate,compound,kettlebells,shoulders,glutes,hamstrings,quadriceps,triceps,None,None,None,None,None,None,"Hold a kettlebell by the handle. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward. This will be your starting position.",strength
One-Arm Kettlebell Split Snatch,pull,expert,compound,kettlebells,shoulders,hamstrings,quadriceps,None,None,None,None,None,None,None,None,Hold a kettlebell in one hand by the handle.,strength
One-Arm Kettlebell Swings,pull,intermediate,compound,kettlebells,hamstrings,calves,glutes,lower back,shoulders,None,None,None,None,None,None,None,strength
One-Arm Long Bar Row,pull,beginner,compound,barbell,middle back,biceps,lats,None,None,None,None,None,None,None,None,Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.,strength
One-Arm Medicine Ball Slam,pull,beginner,compound,medicine ball,abdominals,lats,shoulders,None,None,None,None,None,None,None,None,"Start in a standing position with a staggered, athletic stance. Hold a medicine ball in one hand, on the same side as your back leg. This will be your starting position.",strength
One-Arm Open Palm Kettlebell Clean,pull,intermediate,compound,kettlebells,hamstrings,forearms,glutes,lower back,quadriceps,shoulders,None,None,None,None,None,Place one kettlebell between your feet.,strength
One-Arm Overhead Kettlebell Squats,push,expert,compound,kettlebells,quadriceps,calves,glutes,hamstrings,shoulders,None,None,None,None,None,None,Clean and press a kettlebell with one arm. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so. Press the weight overhead by extending through the elbow.This will be your starting position.,strength
One-Arm Side Deadlift,pull,expert,compound,barbell,quadriceps,abdominals,calves,glutes,hamstrings,lower back,traps,None,None,None,None,Stand to the side of a barbell next to its center. Bend your knees and lower your body until you are able to reach the barbell.,strength
One-Arm Side Laterals,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Pick a dumbbell and place it in one of your hands. Your non lifting hand should be used to grab something steady such as an incline bench press. Lean towards your lifting arm and away from the hand that is gripping the incline bench as this will allow you to keep your balance.,strength
One-Legged Cable Kickback,push,intermediate,isolation,cable,glutes,hamstrings,None,None,None,None,None,None,None,None,None,Hook a leather ankle cuff to a low cable pulley and then attach the cuff to your ankle.,strength
One Arm Against Wall,static,beginner,isolation,None,lats,None,None,None,None,None,None,None,None,None,None,"From a standing position, place a bent arm against a wall or doorway.",stretching
One Arm Chin-Up,pull,expert,compound,other,middle back,biceps,forearms,lats,None,None,None,None,None,None,None,"For this exercise, start out by placing a towel around a chin up bar.",strength
One Arm Dumbbell Bench Press,push,beginner,compound,dumbbell,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie down on a flat bench with a dumbbell in one hand on top of your thigh.,strength
One Arm Dumbbell Preacher Curl,pull,beginner,isolation,dumbbell,biceps,None,None,None,None,None,None,None,None,None,None,Grab a dumbbell with the right arm and place the upper arm on top of the preacher bench or the incline bench. The dumbbell should be held at shoulder length. This will be your starting position.,strength
One Arm Floor Press,push,intermediate,compound,barbell,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Lie down on a flat surface with your back pressing against the floor or an exercise mat. Make sure your knees are bent.,strength
One Arm Lat Pulldown,pull,beginner,compound,cable,lats,biceps,middle back,None,None,None,None,None,None,None,None,Select an appropriate weight and adjust the knee pad to help keep you down. Grasp the handle with a pronated grip. This will be your starting position.,strength
One Arm Pronated Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Lie flat on a bench while holding a dumbbell at arms length. Your arm should be perpendicular to your body. The palm of your hand should be facing towards your feet as a pronated grip is required to perform this exercise.,strength
One Arm Supinated Dumbbell Triceps Extension,push,beginner,isolation,dumbbell,triceps,None,None,None,None,None,None,None,None,None,None,Lie flat on a bench while holding a dumbbell at arms length. Your arm should be perpendicular to your body. The palm of your hand should be facing towards your face as a supinated grip is required to perform this exercise.,strength
One Half Locust,static,beginner,None,None,quadriceps,abdominals,biceps,chest,None,None,None,None,None,None,None,Lie facedown on the floor.,stretching
One Handed Hang,static,beginner,None,other,lats,biceps,None,None,None,None,None,None,None,None,None,None,stretching
One Knee To Chest,static,beginner,compound,None,glutes,hamstrings,lower back,None,None,None,None,None,None,None,None,Start off by lying on the floor.,stretching
One Leg Barbell Squat,push,expert,compound,barbell,quadriceps,calves,glutes,hamstrings,None,None,None,None,None,None,None,Start by standing about 2 to 3 feet in front of a flat bench with your back facing the bench. Have a barbell in front of you on the floor. Tip: Your feet should be shoulder width apart from each other.,strength
Open Palm Kettlebell Clean,pull,expert,compound,kettlebells,hamstrings,glutes,lower back,quadriceps,shoulders,None,None,None,None,None,None,Place one kettlebell between your feet. Clean the kettlebell by extending through the legs and hips as you raise the kettlebell towards your shoulders.,strength
Otis-Up,pull,beginner,compound,other,abdominals,chest,shoulders,triceps,None,None,None,None,None,None,None,Secure your feet and lay back on the floor. Your knees should be bent. Hold a weight with both hands to your chest. This will be your starting position.,strength
Overhead Cable Curl,pull,intermediate,isolation,cable,biceps,None,None,None,None,None,None,None,None,None,None,"To begin, set a weight that is comfortable on each side of the pulley machine. Note: Make sure that the amount of weight selected is the same on each side.",strength
Overhead Lat,static,expert,None,other,lats,triceps,None,None,None,None,None,None,None,None,None,"Sit upright on the floor with your partner behind you. Raise one arm straight up, and flex the elbow, attempting to touch your hand to your back. Your parner should hold your tricep and wrist. This will be your starting position.",stretching
Overhead Slam,pull,beginner,compound,medicine ball,lats,None,None,None,None,None,None,None,None,None,None,Hold a medine ball with both hands and stand with your feet at shoulder width. This will be your starting position.,plyometrics
Overhead Squat,push,expert,compound,barbell,quadriceps,abdominals,calves,glutes,hamstrings,lower back,shoulders,triceps,None,None,None,Start out by having a barbell in front of you on the floor. Your feet should be wider than shoulder width apart from each other.,olympic weightlifting
Overhead Stretch,static,beginner,compound,None,abdominals,chest,forearms,lats,triceps,None,None,None,None,None,None,"Standing straight up, lace your fingers together and open your palms to the ceiling. Keep your shoulders down as you extend your arms up.",stretching
Overhead Triceps,static,expert,None,body only,triceps,lats,None,None,None,None,None,None,None,None,None,"Sit upright on the floor with your partner behind you. Raise one arm straight up, and flex the elbow, attempting to touch your hand to your back. Your parner should hold your elbow and wrist. This will be your starting position.",stretching
Pallof Press,pull,beginner,isolation,cable,abdominals,chest,shoulders,triceps,None,None,None,None,None,None,None,"Connect a standard handle to a tower, and—if possible—position the cable to shoulder height. If not, a low pulley will suffice.",strength
Pallof Press With Rotation,pull,beginner,compound,cable,abdominals,chest,shoulders,triceps,None,None,None,None,None,None,None,"Connect a standard handle to a tower, and position the cable to shoulder height.",strength
Palms-Down Dumbbell Wrist Curl Over A Bench,pull,beginner,isolation,dumbbell,forearms,None,None,None,None,None,None,None,None,None,None,Start out by placing two dumbbells on one side of a flat bench.,strength
Palms-Down Wrist Curl Over A Bench,pull,beginner,isolation,barbell,forearms,None,None,None,None,None,None,None,None,None,None,Start out by placing a barbell on one side of a flat bench.,strength
Palms-Up Barbell Wrist Curl Over A Bench,pull,beginner,isolation,barbell,forearms,None,None,None,None,None,None,None,None,None,None,Start out by placing a barbell on one side of a flat bench.,strength
Palms-Up Dumbbell Wrist Curl Over A Bench,pull,beginner,isolation,dumbbell,forearms,None,None,None,None,None,None,None,None,None,None,Start out by placing two dumbbells on one side of a flat bench.,strength
Parallel Bar Dip,push,beginner,compound,other,triceps,chest,shoulders,None,None,None,None,None,None,None,None,"Stand between a set of parallel bars. Place a hand on each bar, and then take a small jump to help you get into the starting position with your arms locked out.",strength
Pelvic Tilt Into Bridge,static,intermediate,compound,None,lower back,None,None,None,None,None,None,None,None,None,None,"Lie down with your feet on the floor, heels directly under your knees.",stretching
Peroneals-SMR,static,intermediate,None,foam roll,calves,None,None,None,None,None,None,None,None,None,None,"Lay on your side, supporting your weight on your forearm and on a foam roller placed on the outside of your lower leg. Your upper leg can either be on top of your lower leg, or you can cross it in front of you. This will be your starting position.",stretching
Peroneals Stretch,static,intermediate,None,other,calves,None,None,None,None,None,None,None,None,None,None,"In a seated position, loop a belt, rope, or band around one foot. This will be your starting position.",stretching
Physioball Hip Bridge,push,beginner,compound,exercise ball,glutes,hamstrings,None,None,None,None,None,None,None,None,None,"Lay on a ball so that your upper back is on the ball with your hips unsupported. Both feet should be flat on the floor, hip width apart or wider. This will be your starting position.",strength
Pin Presses,push,intermediate,compound,barbell,triceps,chest,forearms,lats,middle back,shoulders,None,None,None,None,None,"Pin presses remove the eccentric phase of the bench press, developing starting strength. They also allow you to train a desired range of motion.",powerlifting
Piriformis-SMR,static,intermediate,isolation,foam roll,glutes,None,None,None,None,None,None,None,None,None,None,"Sit with your buttocks on top of a foam roll. Bend your knees, and then cross one leg so that the ankle is over the knee. This will be your starting position.",stretching
Plank,static,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"Get into a prone position on the floor, supporting your weight on your toes and your forearms. Your arms are bent and directly below the shoulder.",strength
Plate Pinch,static,intermediate,isolation,other,forearms,None,None,None,None,None,None,None,None,None,None,Grab two wide-rimmed plates and put them together with the smooth sides facing outward,strength
Plate Twist,pull,intermediate,compound,other,abdominals,None,None,None,None,None,None,None,None,None,None,Lie down on the floor or an exercise mat with your legs fully extended and your upper body upright. Grab the plate by its sides with both hands out in front of your abdominals with your arms slightly bent.,strength
